"","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X2.1","X2.2","X2.3","X2.4","X2.5","X2.6","X2.7","X2.8","X2.9","X2.10","X2.11","X2.12","X3.1","X3.2","X3.3","X3.4","X3.5","X3.6","X3.7","X3.8","X3.9","X3.10","X4.1.1","X4.1.2","X4.1.3","X4.1.4","X4.1.5","X4.1.6","X4.1.7","X4.1.8","X4.1.9","X4.1.10","X4.1.11","X4.1.12","X4.1.13","X4.1.14","X4.1.15","X4.1.16","X4.1.17","X4.1.18","X4.1.19","X4.1.20","X4.1.21","X4.1.22","X4.1.23","X4.1.24","X4.1.25","X4.1.26","X4.1.27","X4.1.28","X4.1.29","X4.2.1","X4.2.2","X4.2.3","X4.2.4","X4.2.5","X4.2.6","X4.2.7","X4.2.8","X4.2.9","X4.2.10","X4.2.11","X4.2.12","X4.2.13","X4.2.14","X4.2.15","X4.2.16","X4.2.17","X4.2.18","X4.2.19","X4.2.20","X4.2.21","X4.2.22","X4.2.23","X4.2.24","X4.2.25","X4.2.26","X4.2.27","X4.2.28","X4.2.29","X5.1","X5.2","X5.3","X5.4","X5.5","X5.6","X5.7","X5.8","X5.9","X5.1.1","X5.11","X5.12","X5.13","X5.14","X5.15","X5.16","X5.17","X5.18","X5.19","X5.20"
"2",1,2004,2,1,2,1,2,1,3,6,4,4,4,6,5,3,7,4,3,5,2,2,"3",3,2,2,1,1,2,3,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,2,2,3,2,3,2,3,3,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,4,6,1,1,4,6,6,1,1,3,5,7,7,4,7,3,6
"3",1,2004,NA,1,2,1,2,2,4,5,6,6,7,5,5,7,7,7,7,7,1,1,"4",1,3,1,2,2,4,4,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,7,7,1,7,1,7,7,7,1,7,7,1,7,7,1,1,1,7
"4",1,2004,2,2,2,1,2,2,5,7,7,7,7,7,5,7,7,7,4,4,3,3,"3",3,3,2,2,4,1,2,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3,2,1,4,NA,NA,NA,4,4,NA,NA,2,NA,NA,3,3,4,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,3,3,6,7,1,5,1,5,1,4,5,5,1,3,7,1,3,3,4,3
"5",1,2003,1,2,2,1,3,2,4,5,5,5,5,5,4,4,5,5,5,5,2,2,"4",2,3,1,2,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,2,7,7,1,7,1,7,6,6,6,6,6,3,6,7,1,1,3,7
"6",2,2004,2,1,2,1,2,1,4,1,7,7,7,7,1,2,7,1,4,3,4,3,"2",1,1,4,4,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,3,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,4,4,NA,NA,NA,1,5,7,4,7,3,1,3,1,3,7,1,3,7,7,1,5,1,4,4
"7",2,2004,2,1,2,1,2,2,5,5,7,7,7,6,7,5,7,7,6,5,2,3,"4",2,2,2,3,1,3,3,0,0,1,NA,NA,NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,1,1,2,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,3,4,4,5,5,5,2,5,6,6,1,6,3,2,6,2,3,5,3,5
"8",2,2004,2,1,2,1,1,1,6,5,4,6,6,7,6,6,6,7,7,7,1,1,"4",1,4,1,1,1,4,4,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,3,NA,NA,4,4,4,3,4,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,7,2,7,1,6,6,7,1,7,7,4,7,7,1,1,1,7
"9",2,2004,1,2,2,1,3,3,7,7,7,7,7,5,7,7,7,7,7,7,2,2,"4",1,3,2,1,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,6,1,7,7,2,6,1,7,6,6,3,6,7,1,7,1,1,1,2,5
"10",1,2004,2,1,2,1,2,2,4,3,4,4,4,4,4,1,1,4,6,1,2,2,"3",2,2,2,2,3,3,3,1,NA,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,NA,2,NA,NA,2,2,2,2,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,5,6,4,7,1,5,6,7,1,7,6,2,6,7,2,2,1,6
"11",1,2003,1,1,2,1,3,3,7,7,7,7,7,7,7,7,7,7,7,7,2,2,"4",2,2,1,1,1,4,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,7,1,7,1,7,7,7,1,6,6,1,7,7,2,1,2,7
"12",1,2003,2,1,2,1,2,1,4,6,6,5,6,5,5,5,6,6,5,6,2,2,"3",2,2,2,3,1,3,3,1,0,1,NA,NA,NA,NA,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,NA,2,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,2,NA,3,NA,NA,5,3,4,6,4,7,2,6,6,6,2,6,5,6,7,3,2,2,4,6
"13",2,2003,2,1,2,2,2,2,7,6,7,7,7,6,6,7,6,7,7,5,1,1,"3",1,1,1,1,1,1,4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7,1,7,7,1,1,1,7,7,7,7,7,7,1,7,7,1,1,1,7
"14",1,2002,2,2,2,2,2,2,6,6,7,7,6,5,6,6,6,6,7,6,2,2,"4",1,2,1,1,1,4,4,1,3,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,1,2,1,3,1,2,0,NA,0,NA,0,NA,1,2,1,2,1,2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6,1,7,7,1,7,1,6,5,6,2,6,7,1,7,7,1,1,2,6
"15",2,2002,2,2,2,2,3,2,4,4,4,5,5,5,4,5,4,5,5,6,2,1,"4",1,3,2,1,1,4,4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6,3,5,5,3,5,2,6,5,4,5,3,5,3,6,3,3,2,3,5
"16",2,2003,2,1,2,2,2,2,5,5,5,5,5,5,6,5,6,5,4,6,2,2,"3",2,2,2,2,1,3,3,1,2,0,NA,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,0,1,0,1,1,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,0,1,5,5,3,5,5,3,1,4,5,4,6,3,7,1,6,3,3,4,5,4
"17",1,2002,1,1,2,2,2,1,4,4,4,5,7,7,4,7,7,4,7,4,2,1,"1",2,3,1,4,1,2,3,1,3,0,NA,0,NA,0,NA,0,NA,1,4,1,4,1,4,0,NA,0,NA,0,NA,0,NA,1,1,1,4,1,4,0,NA,1,1,1,4,0,NA,1,4,0,NA,0,NA,0,NA,0,NA,0,NA,1,4,0,NA,0,NA,0,NA,5,3,6,7,3,7,1,6,5,7,4,6,6,7,7,5,2,1,3,4
"18",1,2002,2,1,2,2,2,1,3,3,7,7,6,7,5,7,7,4,7,6,2,2,"3",2,2,2,2,3,4,3,1,1,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,1,4,0,NA,1,1,1,1,0,NA,0,3,1,NA,1,2,1,3,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,2,0,NA,0,NA,0,NA,4,1,7,7,1,7,3,6,6,3,1,6,5,4,6,7,3,7,1,5
"19",NA,2002,2,2,2,2,1,2,4,4,5,4,3,4,4,3,4,3,6,4,2,3,"3",2,3,3,2,3,3,3,1,1,1,1,0,NA,0,NA,0,NA,0,NA,NA,1,0,NA,1,1,0,NA,1,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4,5,4,4,5,4,3,4,4,4,5,4,4,3,1,7,4,2,3,5
"20",1,2002,1,2,2,2,2,1,4,5,6,5,5,6,5,6,7,4,5,6,2,2,"4",2,3,2,2,2,4,4,0,NA,0,NA,0,NA,0,NA,0,NA,1,2,1,4,1,2,1,2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1,1,1,1,1,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7,3,6,6,1,7,1,4,5,6,3,4,5,4,7,7,3,1,2,5
"21",2,2003,2,1,2,2,2,3,5,3,5,5,2,4,4,3,5,4,5,6,2,2,"3",2,2,2,2,2,3,4,1,2,0,NA,1,4,1,3,1,4,0,NA,1,1,1,2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,3,0,NA,0,NA,0,NA,0,NA,1,3,0,NA,0,NA,0,NA,0,NA,0,NA,1,4,0,NA,0,NA,5,2,2,2,1,3,3,6,6,6,3,5,5,1,6,7,2,1,1,2
"22",1,2003,2,1,2,2,2,2,1,7,4,5,1,NA,6,4,1,4,2,4,2,2,"3",2,3,2,2,2,3,3,1,4,0,NA,1,2,0,NA,0,NA,0,NA,1,4,1,4,1,4,1,3,1,4,0,NA,0,NA,0,NA,0,NA,1,4,1,3,0,NA,0,NA,1,4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,2,7,4,7,7,2,7,1,7,6,1,1,5,7,7,7,1,1,1,1,7
"23",2,2003,2,2,2,2,2,2,4,4,3,4,5,7,7,4,5,4,3,7,3,3,"2",3,1,3,1,2,2,1,1,3,0,NA,1,3,0,NA,1,3,0,NA,0,NA,1,4,1,3,0,NA,1,3,0,NA,0,NA,1,3,1,4,0,NA,1,4,1,2,1,4,0,NA,0,NA,0,NA,0,NA,0,NA,1,3,1,3,1,3,0,NA,0,NA,4,4,6,5,6,2,1,7,1,1,2,1,4,6,5,1,2,5,2,5
"24",2,2004,2,1,2,1,1,1,7,6,7,7,7,7,7,6,7,6,5,7,2,1,"4",2,2,3,2,1,4,4,1,3,0,1,1,4,0,1,0,1,0,1,0,1,1,2,1,4,0,1,1,4,0,1,0,1,1,2,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,0,1,0,1,0,1,0,1,1,3,0,1,0,1,7,1,7,7,1,7,1,7,7,7,2,5,7,4,7,7,2,1,1,7
